id,date,link,title,summary,label,prediction
ge:10473397050671704521,2016-11-04 11:10:42+00:00,https://www.google.com/url?rct=j&sa=t&url=http://mareeg.com/over-240-refugees-and-migrants-dead-in-horrific-24-hours-in-the-mediterranean/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFnNKdRZW0rFpc6sZ8rPE4iXjZAcg,Over 240 Refugees and <b>Migrants Dead</b> in &#39;Horrific 24 Hours&#39; in the Mediterranean,"June 7, 2014 - Mediterranean Sea / Italy: Italian navy rescues asylum seekers traveling by boat off the coast of Africa. More than 2,000 <b>migrants</b>&nbsp;...",unlabelled,0.0
ge:1673659033562299349,2016-11-04 11:03:43+00:00,https://www.google.com/url?rct=j&sa=t&url=https://www.pressreader.com/kuwait/arab-times/20161104/281925952573972&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHWNf4kBOX6nBu7QuKosmaqUlWDTQ,239 <b>migrants die</b> in shipwrecks of Libya,"GENEVA, Nov 3, (Agencies): At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United&nbsp;...",unlabelled,0.0
ge:12816080172091544059,2016-11-04 08:44:31+00:00,https://www.google.com/url?rct=j&sa=t&url=http://sunnewsonline.com/migrant-crisis-200-die-in-shipwrecks-off-libya/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHCXi4t6Rqlhh2ifEz0-xq413QuNg,<b>Migrant</b> crisis: 200 <b>die</b> in shipwrecks off Libya,"More than 4,200 <b>migrants</b> have <b>died</b> making the dangerous journey across the Mediterranean Sea this year, International Organization of <b>Migration</b>&nbsp;...",unlabelled,0.0
ge:909789686375917568,2016-11-04 07:49:47+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.9newsng.com/un-says-239-migrants-die-in-two-shipwrecks-off-libya/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFuw8g_iBOUEeDCHCRJhwcSrzN0AQ,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"GENEVA (Reuters)  At least 239 <b>migrants</b> have <b>died</b> in two shipwrecks off Libya, the United Nations said on Thursday. Carlotta Sami, a&nbsp;...",unlabelled,0.0
ge:6798605673217156326,2016-11-04 06:11:15+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.eng.24.kg/incidents/182713-news24.html&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEFJTcq79PxJ7HVj6sGfg18xyL6jQ,Tragedy in Mediterranean Sea: 240 <b>migrants died</b> (video),About 30 <b>migrants</b> survived in a shipwreck near the Libyan coast brought on the island of Lampedusa. There almost simultaneously sunk two boats&nbsp;...,unlabelled,0.0
ge:16748363655633279586,2016-11-04 05:30:22+00:00,https://www.google.com/url?rct=j&sa=t&url=https://citizentv.co.ke/news/at-least-240-migrants-and-refugees-die-in-two-shipwrecks-off-libya-iom-147608/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNE9MBkaSP1oD-wfhBtD6COEclaOAw,At least 240 <b>migrants</b> and refugees <b>die</b> in two shipwrecks off Libya  IOM,"At least 240 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the U.N.&#39;s International Organization for&nbsp;...",unlabelled,0.0
ge:16997405514798327559,2016-11-04 01:10:44+00:00,"https://www.google.com/url?rct=j&sa=t&url=http://www.independent.mk/articles/38206/At%2BLeast%2B%2BMigrants%2BDie%2Bin%2BTwo%2BShipwrecks%2Boff%2BLibya,%2BUN%2BSays&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEgd9MpUBxZLE871q6rFuYydJSe2w","At Least 239 <b>Migrants Die</b> in Two Shipwrecks off Libya, UN Says","The United Nations said on Thursday that at least 239 <b>migrants</b> have <b>died</b> in two shipwrecks off Libya, RTE reports.",unlabelled,0.0
ge:17595217942782004145,2016-11-04 00:42:40+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.thenational.scot/world/libya-240-die-as-refugee-boats-sink-off-coast.24379&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNG-HgFGjOdQfHL4GfeSkiQIetNEjQ,Libya: 240 <b>die</b> as refugee boats sink off coast,"UNHCR emphasised that the number of <b>dead</b> was an estimate. ... In addition, more <b>migrants</b> are arriving with severe burns from being exposed to fuel&nbsp;...",unlabelled,0.0
ge:3126354005180025239,2016-11-03 22:02:18+00:00,https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/news/us/at-least-240-migrants-and-refugees-die-in-two-shipwrecks-off-libya-iom/vp-AAjRo9U&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFXzFla0YPhmREFsGBUcGpfGOPSyQ,At least 240 <b>migrants</b> and refugees <b>die</b> in two shipwrecks off Libya,At least 240 <b>migrants</b> and refugees <b>die</b> in two shipwrecks off Libya - IOM.,unlabelled,0.0
ge:7104982916618338214,2016-11-03 21:57:00+00:00,https://www.google.com/url?rct=j&sa=t&url=http://crcconnection.com/2016/11/03/united-nations-says-239-migrants-die-in-two-shipwrecks-off.html&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFqQMokVFglbdX0VQ5GfwCM1c3NRw,United Nations says 239 <b>migrants die</b> in two shipwrecks off Libya,"Survivors say as many as 240 people have <b>died</b> in two shipwrecks off Libya, the United Nations refugee agency reported Thursday - bringing this&nbsp;...",unlabelled,0.0
ge:9097094272872859480,2016-11-03 17:35:13+00:00,https://www.google.com/url?rct=j&sa=t&url=http://eng.majalla.com/2016/11/article55252446/239-migrants-die-two-shipwrecks-off-libya&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGYM-kpoMWE-D7ziJiRq2HVKtIk0g,239 <b>Migrants Die</b> in Two Shipwrecks Off Libya,TOPSHOT  <b>Migrants</b> and refugees wait to be rescued from their sinking rubber boat some eight nautical miles off Libya&#39;s Mediterranean coastline on&nbsp;...,unlabelled,0.0
ge:13472117354589474728,2016-11-03 17:09:54+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.pmnewsnigeria.com/2016/11/03/200-migrants-die-in-shipwrecks-off-libya-coast/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNG9E1xcJJ0MmhPi79Kqk1HF2t4x5w,200 <b>migrants die</b> in shipwrecks off Libya coast,"More than 200 <b>migrants</b> are believed drowned in two shipwrecks off the coast of Libya, <b>migration</b> officials say. The UN refugee agency was told the&nbsp;...",unlabelled,0.0
ge:6181893331763684678,2016-11-03 16:28:54+00:00,https://www.google.com/url?rct=j&sa=t&url=https://player.fm/series/rt-news-at-one-podcast-53456/more-than-230-migrants-die-off-libyan-coast&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFetMSJVy1gZHIIVZyhXPuflCE4IA,Than 230 <b>Migrants Die</b> Off Libyan Coast,"More than 230 <b>migrants die</b> off Libyan coast1:55. 2h ago 1:55. + Play Later. 1:55. The International Organization for Migration&#39;s, Leonard Doyle, says&nbsp;...",unlabelled,0.0
ge:12381319691985631674,2016-11-03 16:01:08+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.news.com.au/world/breaking-news/239-migrants-die-in-2-libya-shipwrecks-un/news-story/461891bc63a9cab371f0a8c7bcf5ab72&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHFTLaFuu897EZYw9PsQEgmFfdFDg,240 <b>migrants die</b> in 2 Libya shipwrecks: UN,"At least 240 <b>migrants</b> have drowned off the coast of Libya within the last 48 hours, possibly as an unintended consequence of European efforts to stop&nbsp;...",unlabelled,0.0
ge:8051810341449689542,2016-11-03 15:51:55+00:00,https://www.google.com/url?rct=j&sa=t&url=https://crusaderjournal.com/2016/11/03/u-n-says-239-migrants-die-in-two-shipwrecks-off-libya/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFl3zNT1zm18ByuJI8q6iDYh7Zc5w,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"GENEVA (Reuters) - At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations&nbsp;...",unlabelled,0.0
ge:13444218482826473445,2016-11-03 15:44:20+00:00,https://www.google.com/url?rct=j&sa=t&url=http://goobjoog.com/english/un-says-239-migrants-die-two-shipwrecks-off-libya/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFfwPODoL-_2EWcwCiHyN8I1F2gPw,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"<b>Migrants</b> are seen during rescue operation in the Mediterranea Sea October 20, 2016. Yara Nardi/Italian Red Cross press office/Handout via Reuters.",unlabelled,0.0
ge:10997965332057850533,2016-11-03 15:38:33+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.sanantoniopost.com/index.php/sid/249099841&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHOcG1fHjkpS-QvmiVlHNTYsFrf3A,UN: 239 <b>migrants die</b> in two shipwrecks off Libya,"Net - At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations <b>migration</b> ag.",unlabelled,0.0
ge:5572607145518302073,2016-11-03 15:30:54+00:00,https://www.google.com/url?rct=j&sa=t&url=http://news.abs-cbn.com/overseas/11/03/16/un-says-239-migrants-die-in-two-shipwrecks-off-libya&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGr2j1jK9SOI6qiA3cCpmX4k3tmaA,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"GENEVA - At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations <b>migration</b>&nbsp;...",unlabelled,0.0
ge:7413269561784969263,2016-11-03 15:26:12+00:00,https://www.google.com/url?rct=j&sa=t&url=https://www.rt.com/news/365237-bautzen-far-right-migrants/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEq6dBgW0ok0AVKTHWaRzQbkn2DIg,"Far-right &#39;hunt&#39; for refugees in German town, police accused of cover-up &amp; inaction","The far-right activists took to cars and bikes to &#39;hunt&#39; <b>migrants</b> down. Most of ... A police spokesperson, however, told <b>Die</b> Zeit that nothing special had&nbsp;...",unlabelled,0.0
ge:13085625703843122843,2016-11-03 15:07:57+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.wionews.com/world/239-migrants-die-in-two-shipwrecks-off-libya-un-8318/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHZf4bF2QUob88oX-z7U9jNwjF8mQ,239 <b>migrants die</b> in two shipwrecks off Libya: UN,"The International Organization for <b>Migration</b> said the latest deaths meant 4,220 lives had been lost in the Mediterranean so far this year, compared&nbsp;...",unlabelled,0.0
ge:14230650973703320964,2016-11-03 13:05:29+00:00,https://www.google.com/url?rct=j&sa=t&url=http://www.independent.co.uk/news/world/europe/refugee-crisis-latest-boat-disaster-capsizing-sinking-mediterranean-sea-libya-239-un-a7395376.html&ct=ga&cd=CAIyHDYwNjJlMzI2OTMxMmUzNDA6Y29tOmVuOlVTOkw&usg=AFQjCNFdLhMX_BCnCeRa3HSfVGa3b1ex_A,Babies among more than 200 refugees <b>drowned</b> boat disasters in the Mediterranean Sea,Three babies are among more than 200 refugees killed in two disasters off the coast of Libya as Europe&#39;s attention focuses on a landmark legal ruling&nbsp;...,unlabelled,0.0
